station1,station2,distance
State St & Harrison St,Wilton Ave & Diversey Pkwy,4.866
State St & Harrison St,Wood St & North Ave,4.163
State St & Harrison St,Wood St & Division St,3.695
State St & Harrison St,State St & Van Buren St,0.223
State St & Harrison St,Streeter Dr & Illinois St,1.908
State St & Harrison St,Wabash Ave & Cermak Rd,1.518
State St & Harrison St,State St & Randolph St,0.745
State St & Harrison St,Wells St & Walton St,2.115
State St & Harrison St,State St & Kinzie St,1.079
State St & Harrison St,Wells St & Erie St,1.712
State St & Harrison St,Wabash Ave & Roosevelt Rd,0.553
State St & Harrison St,Wood St & Milwaukee Ave,3.819
State St & Harrison St,State St & Pearson St,1.659
State St & Harrison St,Western Ave & Winnebago Ave,4.773
State St & Harrison St,Wilton Ave & Belmont Ave,6.728
State St & Harrison St,Wentworth Ave & Archer Ave,1.543
State St & Harrison St,Wentworth Ave & 24th St,1.981
State St & Harrison St,Wells St & Polk St,0.443
State St & Harrison St,Theater on the Lake,4.504
State St & Harrison St,Stave St & Armitage Ave,5.026
State St & Harrison St,State St & Wacker Dr,0.913
State St & Harrison St,Wabash Ave & Grand Ave,1.447
State St & Harrison St,Western Ave & 21st St,4.304
State St & Harrison St,Wells St & Ohio St,1.715
State St & Harrison St,Wells St & 19th St,1.566
State St & Harrison St,Western Ave & Leland Ave,8.149
State St & Harrison St,Woodlawn Ave & 55th St,6.541
State St & Harrison St,Stetson Ave & South Water St,1.354
State St & Harrison St,Wallace Ave & 35th St,3.738
State St & Harrison St,Western Ave & 24th St,4.682
State St & Harrison St,Wood St & Grand Ave,3.414
State St & Harrison St,Wells St & Concord Ln,2.969
State St & Harrison St,Wells St & Evergreen Ave,2.91
State St & Harrison St,Western Ave & Division St,5.018
State St & Harrison St,Wood St & Taylor St,2.893
State St & Harrison St,Wabash Ave & 8th St,0.222
State St & Harrison St,Stockton Dr & Wrightwood Ave,5.256
State St & Harrison St,Wolcott Ave & Polk St,3.135
State St & Harrison St,Wolcott Ave & Lawrence Ave,8.284
Wilton Ave & Diversey Pkwy,Wood St & North Ave,2.603
Wilton Ave & Diversey Pkwy,Wood St & Division St,3.113
Wilton Ave & Diversey Pkwy,Wood St & Milwaukee Ave,3.173
Wilton Ave & Diversey Pkwy,Woodlawn Ave & 55th St,11.472
Wilton Ave & Diversey Pkwy,Wood St & Grand Ave,3.965
Wilton Ave & Diversey Pkwy,Wood St & Taylor St,5.435
Wilton Ave & Diversey Pkwy,Wolcott Ave & Polk St,5.718
Wilton Ave & Diversey Pkwy,Wolcott Ave & Lawrence Ave,3.417
Morgan St & 18th St,State St & Harrison St,2.313
Morgan St & 18th St,Wilton Ave & Diversey Pkwy,6.907
Morgan St & 18th St,Racine Ave & 18th St,0.292
Morgan St & 18th St,Wood St & North Ave,4.854
Morgan St & 18th St,Wood St & Division St,4.385
Morgan St & 18th St,Sheffield Ave & Kingsbury St,5.099
Morgan St & 18th St,Orleans St & Elm St,4.356
Morgan St & 18th St,Noble St & Milwaukee Ave,3.829
Morgan St & 18th St,Racine Ave & Congress Pkwy,2.143
Morgan St & 18th St,State St & Van Buren St,2.536
Morgan St & 18th St,Streeter Dr & Illinois St,4.154
Morgan St & 18th St,Wabash Ave & Cermak Rd,1.721
Morgan St & 18th St,State St & Randolph St,3.058
Morgan St & 18th St,Wells St & Walton St,4.299
Morgan St & 18th St,State St & Kinzie St,3.392
Morgan St & 18th St,Wells St & Erie St,3.9
Morgan St & 18th St,Ogden Ave & Chicago Ave,3.427
Morgan St & 18th St,Wabash Ave & Roosevelt Rd,1.95
Morgan St & 18th St,Wood St & Milwaukee Ave,4.51
Morgan St & 18th St,Sheffield Ave & Fullerton Ave,6.349
Morgan St & 18th St,Morgan St & Lake St,2.721
Morgan St & 18th St,State St & 16th St,1.453
Morgan St & 18th St,Racine Ave & Fullerton Ave,6.104
Morgan St & 18th St,Sheffield Ave & Willow St,5.221
Morgan St & 18th St,Museum Campus,2.418
Morgan St & 18th St,Orleans St & Merchandise Mart Plaza,3.011
Morgan St & 18th St,State St & Pearson St,4.46
Morgan St & 18th St,State St & Erie St,4.172
Morgan St & 18th St,Sedgwick St & Huron St,3.858
Morgan St & 18th St,Sheffield Ave & Addison St,7.867
Morgan St & 18th St,Sheffield Ave & Wellington Ave,7.106
Morgan St & 18th St,Western Ave & Winnebago Ave,5.463
Morgan St & 18th St,Wilton Ave & Belmont Ave,7.64
Morgan St & 18th St,Sedgwick St & North Ave,5.786
Morgan St & 18th St,Wentworth Ave & Archer Ave,1.443
Morgan St & 18th St,Wentworth Ave & 24th St,1.612
Morgan St & 18th St,Peoria St & Jackson Blvd,1.713
Morgan St & 18th St,Racine Ave & 13th St,0.796
Morgan St & 18th St,Sedgwick St & Webster Ave,5.982
Morgan St & 18th St,State St & 33rd St,2.651
Morgan St & 18th St,Southport Ave & Wellington Ave,6.968
Morgan St & 18th St,Southport Ave & Belmont Ave,6.86
Morgan St & 18th St,Paulina St & Diversey Pkwy,6.251
Morgan St & 18th St,Wells St & Polk St,2.338
Morgan St & 18th St,Theater on the Lake,6.75
Morgan St & 18th St,State St & 19th St,1.322
Morgan St & 18th St,State St & 35th St,2.849
Morgan St & 18th St,Stave St & Armitage Ave,5.717
Morgan St & 18th St,Ogden Ave & Race Ave,3.278
Morgan St & 18th St,Southport Ave & Wrightwood Ave,6.096
Morgan St & 18th St,State St & 29th St,2.371
Morgan St & 18th St,State St & Wacker Dr,3.226
Morgan St & 18th St,Wabash Ave & Grand Ave,4.06
Morgan St & 18th St,Western Ave & 21st St,1.902
Morgan St & 18th St,Prairie Ave & Garfield Blvd,5.862
Morgan St & 18th St,Paulina St & 18th St,0.917
Morgan St & 18th St,Normal Ave & Archer Ave,1.34
Morgan St & 18th St,St Clair St & Erie St,4.495
Morgan St & 18th St,Wells St & Ohio St,3.788
Morgan St & 18th St,Wells St & 19th St,1.235
Morgan St & 18th St,Racine Ave & Belmont Ave,7.095
Morgan St & 18th St,Southport Ave & Waveland Ave,7.418
Morgan St & 18th St,Southport Ave & Roscoe St,7.118
Morgan St & 18th St,Sheridan Rd & Montrose Ave,8.842
Morgan St & 18th St,Pine Grove Ave & Addison St,6.957
Morgan St & 18th St,Sangamon St & Washington Blvd,2.589
Morgan St & 18th St,Sedgwick St & Schiller St,4.724
Morgan St & 18th St,Ravenswood Ave & Montrose Ave,8.361
Morgan St & 18th St,Western Ave & Leland Ave,8.84
Morgan St & 18th St,Sheridan Rd & Irving Park Rd,8.355
Morgan St & 18th St,Morgan St & Polk St,1.402
Morgan St & 18th St,Ravenswood Ave & Irving Park Rd,7.885
Morgan St & 18th St,Shore Drive & 55th St,7.086
Morgan St & 18th St,Woodlawn Ave & 55th St,6.967
Morgan St & 18th St,Pine Grove Ave & Irving Park Rd,9.108
Morgan St & 18th St,Rhodes Ave & 32nd St,3.756
Morgan St & 18th St,Stetson Ave & South Water St,4.036
Morgan St & 18th St,Racine Ave & 15th St,0.505
Morgan St & 18th St,Wallace Ave & 35th St,2.384
Morgan St & 18th St,Morgan St & 31st St,1.879
Morgan St & 18th St,Western Ave & 24th St,2.441
Morgan St & 18th St,Wood St & Grand Ave,3.341
Morgan St & 18th St,Wells St & Concord Ln,5.308
Morgan St & 18th St,Wells St & Evergreen Ave,5.246
Morgan St & 18th St,Southport Ave & Clark St,8.248
Morgan St & 18th St,Paulina St & Montrose Ave,8.221
Morgan St & 18th St,Sheffield Ave & Wrightwood Ave,5.601
Morgan St & 18th St,Western Ave & Division St,5.135
Morgan St & 18th St,Sheridan Rd & Buena Ave,8.639
Morgan St & 18th St,Southport Ave & Clybourn Ave,5.655
Morgan St & 18th St,Seeley Ave & Roscoe St,7.018
Morgan St & 18th St,Ravenswood Ave & Berteau Ave,8.088
Morgan St & 18th St,Wood St & Taylor St,1.811
Morgan St & 18th St,Southport Ave & Irving Park Rd,7.86
Morgan St & 18th St,Wabash Ave & 8th St,2.239
Morgan St & 18th St,Sheridan Rd & Lawrence Ave,9.391
Morgan St & 18th St,Stockton Dr & Wrightwood Ave,7.501
Morgan St & 18th St,Sheffield Ave & Webster Ave,5.767
Morgan St & 18th St,Wolcott Ave & Polk St,2.094
Morgan St & 18th St,Racine Ave & Wrightwood Ave,6.357
Morgan St & 18th St,Wolcott Ave & Lawrence Ave,8.974
Racine Ave & 18th St,State St & Harrison St,2.572
Racine Ave & 18th St,Wilton Ave & Diversey Pkwy,6.469
Racine Ave & 18th St,Wood St & North Ave,4.408
Racine Ave & 18th St,Wood St & Division St,3.901
Racine Ave & 18th St,Sheffield Ave & Kingsbury St,5.278
Racine Ave & 18th St,Racine Ave & Congress Pkwy,1.407
Racine Ave & 18th St,State St & Van Buren St,2.795
Racine Ave & 18th St,Streeter Dr & Illinois St,4.412
Racine Ave & 18th St,Wabash Ave & Cermak Rd,2.015
Racine Ave & 18th St,State St & Randolph St,3.316
Racine Ave & 18th St,Wells St & Walton St,4.479
Racine Ave & 18th St,State St & Kinzie St,3.65
Racine Ave & 18th St,Wells St & Erie St,4.079
Racine Ave & 18th St,Wabash Ave & Roosevelt Rd,2.208
Racine Ave & 18th St,Wood St & Milwaukee Ave,4.054
Racine Ave & 18th St,Sheffield Ave & Fullerton Ave,5.911
Racine Ave & 18th St,State St & 16th St,1.745
Racine Ave & 18th St,Racine Ave & Fullerton Ave,5.666
Racine Ave & 18th St,Sheffield Ave & Willow St,5.4
Racine Ave & 18th St,State St & Pearson St,4.23
Racine Ave & 18th St,State St & Erie St,4.352
Racine Ave & 18th St,Sedgwick St & Huron St,4.037
Racine Ave & 18th St,Sheffield Ave & Addison St,7.429
Racine Ave & 18th St,Sheffield Ave & Wellington Ave,6.668
Racine Ave & 18th St,Western Ave & Winnebago Ave,5.547
Racine Ave & 18th St,Wilton Ave & Belmont Ave,7.202
Racine Ave & 18th St,Sedgwick St & North Ave,5.965
Racine Ave & 18th St,Wentworth Ave & Archer Ave,1.737
Racine Ave & 18th St,Wentworth Ave & 24th St,1.905
Racine Ave & 18th St,Sedgwick St & Webster Ave,5.751
Racine Ave & 18th St,State St & 33rd St,3.195
Racine Ave & 18th St,Southport Ave & Wellington Ave,6.53
Racine Ave & 18th St,Southport Ave & Belmont Ave,6.422
Racine Ave & 18th St,Wells St & Polk St,2.597
Racine Ave & 18th St,Theater on the Lake,7.008
Racine Ave & 18th St,State St & 19th St,1.613
Racine Ave & 18th St,State St & 35th St,3.321
Racine Ave & 18th St,Stave St & Armitage Ave,5.261
Racine Ave & 18th St,Southport Ave & Wrightwood Ave,5.658
Racine Ave & 18th St,State St & 29th St,2.665
Racine Ave & 18th St,State St & Wacker Dr,3.484
Racine Ave & 18th St,Wabash Ave & Grand Ave,4.318
Racine Ave & 18th St,Western Ave & 21st St,2.06
Racine Ave & 18th St,St Clair St & Erie St,4.436
Racine Ave & 18th St,Wells St & Ohio St,3.967
Racine Ave & 18th St,Wells St & 19th St,1.527
Racine Ave & 18th St,Racine Ave & Belmont Ave,6.657
Racine Ave & 18th St,Southport Ave & Waveland Ave,6.98
Racine Ave & 18th St,Southport Ave & Roscoe St,6.68
Racine Ave & 18th St,Sheridan Rd & Montrose Ave,8.404
Racine Ave & 18th St,Sangamon St & Washington Blvd,2.946
Racine Ave & 18th St,Sedgwick St & Schiller St,4.903
Racine Ave & 18th St,Ravenswood Ave & Montrose Ave,7.923
Racine Ave & 18th St,Western Ave & Leland Ave,9.019
Racine Ave & 18th St,Sheridan Rd & Irving Park Rd,7.917
Racine Ave & 18th St,Ravenswood Ave & Irving Park Rd,7.446
Racine Ave & 18th St,Shore Drive & 55th St,7.557
Racine Ave & 18th St,Woodlawn Ave & 55th St,7.439
Racine Ave & 18th St,Rhodes Ave & 32nd St,4.228
Racine Ave & 18th St,Stetson Ave & South Water St,4.294
Racine Ave & 18th St,Wallace Ave & 35th St,2.677
Racine Ave & 18th St,Western Ave & 24th St,2.181
Racine Ave & 18th St,Wood St & Grand Ave,3.042
Racine Ave & 18th St,Wells St & Concord Ln,5.487
Racine Ave & 18th St,Wells St & Evergreen Ave,5.425
Racine Ave & 18th St,Southport Ave & Clark St,7.81
Racine Ave & 18th St,Sheffield Ave & Wrightwood Ave,6.126
Racine Ave & 18th St,Western Ave & Division St,4.655
Racine Ave & 18th St,Sheridan Rd & Buena Ave,8.201
Racine Ave & 18th St,Southport Ave & Clybourn Ave,5.217
Racine Ave & 18th St,Seeley Ave & Roscoe St,7.197
Racine Ave & 18th St,Ravenswood Ave & Berteau Ave,7.65
Racine Ave & 18th St,Wood St & Taylor St,1.549
Racine Ave & 18th St,Southport Ave & Irving Park Rd,7.421
Racine Ave & 18th St,Wabash Ave & 8th St,2.497
Racine Ave & 18th St,Sheridan Rd & Lawrence Ave,10.619
Racine Ave & 18th St,Stockton Dr & Wrightwood Ave,7.759
Racine Ave & 18th St,Sheffield Ave & Webster Ave,5.947
Racine Ave & 18th St,Wolcott Ave & Polk St,1.792
Racine Ave & 18th St,Racine Ave & Wrightwood Ave,5.919
Racine Ave & 18th St,Wolcott Ave & Lawrence Ave,8.536
Wood St & North Ave,Woodlawn Ave & 55th St,11.013
Wood St & North Ave,Wood St & Taylor St,3.36
Wood St & Division St,Wood St & North Ave,1.005
Wood St & Division St,Wood St & Milwaukee Ave,0.692
Wood St & Division St,Woodlawn Ave & 55th St,10.638
Wood St & Division St,Wood St & Grand Ave,1.391
Wood St & Division St,Wood St & Taylor St,2.861
Loomis St & Taylor St,State St & Harrison St,2.423
Loomis St & Taylor St,Wilton Ave & Diversey Pkwy,5.475
Loomis St & Taylor St,Morgan St & 18th St,1.286
Loomis St & Taylor St,Racine Ave & 18th St,0.994
Loomis St & Taylor St,Wood St & North Ave,3.414
Loomis St & Taylor St,Wood St & Division St,2.907
Loomis St & Taylor St,Sheffield Ave & Kingsbury St,3.985
Loomis St & Taylor St,May St & Taylor St,0.284
Loomis St & Taylor St,Orleans St & Elm St,3.958
Loomis St & Taylor St,Michigan Ave & Pearson St,4.27
Loomis St & Taylor St,McClurg Ct & Illinois St,4.507
Loomis St & Taylor St,Noble St & Milwaukee Ave,2.699
Loomis St & Taylor St,Racine Ave & Congress Pkwy,0.739
Loomis St & Taylor St,State St & Van Buren St,2.807
Loomis St & Taylor St,Streeter Dr & Illinois St,4.263
Loomis St & Taylor St,Wabash Ave & Cermak Rd,3.025
Loomis St & Taylor St,Michigan Ave & Washington St,3.399
Loomis St & Taylor St,State St & Randolph St,3.329
Loomis St & Taylor St,Michigan Ave & Congress Pkwy,3.199
Loomis St & Taylor St,Wells St & Walton St,3.604
Loomis St & Taylor St,State St & Kinzie St,3.081
Loomis St & Taylor St,Michigan Ave & Lake St,3.595
Loomis St & Taylor St,Wells St & Erie St,3.502
Loomis St & Taylor St,Ogden Ave & Chicago Ave,2.35
Loomis St & Taylor St,Wabash Ave & Roosevelt Rd,2.059
Loomis St & Taylor St,Wood St & Milwaukee Ave,3.06
Loomis St & Taylor St,McCormick Place,4.117
Loomis St & Taylor St,Sheffield Ave & Fullerton Ave,4.917
Loomis St & Taylor St,Morgan St & Lake St,1.995
Loomis St & Taylor St,State St & 16th St,2.484
Loomis St & Taylor St,Michigan Ave & Oak St,5.992
Loomis St & Taylor St,Racine Ave & Fullerton Ave,4.671
Loomis St & Taylor St,May St & Randolph St,1.792
Loomis St & Taylor St,Millennium Park,3.08
Loomis St & Taylor St,Sheffield Ave & Willow St,4.107
Loomis St & Taylor St,Museum Campus,2.527
Loomis St & Taylor St,Orleans St & Merchandise Mart Plaza,2.613
Loomis St & Taylor St,State St & Pearson St,4.062
Loomis St & Taylor St,State St & Erie St,3.774
Loomis St & Taylor St,Sedgwick St & Huron St,3.46
Loomis St & Taylor St,Sheffield Ave & Addison St,6.435
Loomis St & Taylor St,Sheffield Ave & Wellington Ave,5.674
Loomis St & Taylor St,Western Ave & Winnebago Ave,4.553
Loomis St & Taylor St,Wilton Ave & Belmont Ave,6.207
Loomis St & Taylor St,Sedgwick St & North Ave,4.672
Loomis St & Taylor St,Wentworth Ave & Archer Ave,3.05
Loomis St & Taylor St,Wentworth Ave & 24th St,2.951
Loomis St & Taylor St,Peoria St & Jackson Blvd,1.257
Loomis St & Taylor St,Racine Ave & 13th St,0.524
Loomis St & Taylor St,Morgan Ave & 14th Pl,0.981
Loomis St & Taylor St,Sedgwick St & Webster Ave,5.584
Loomis St & Taylor St,State St & 33rd St,4.002
Loomis St & Taylor St,Southport Ave & Wellington Ave,5.535
Loomis St & Taylor St,Southport Ave & Belmont Ave,5.428
Loomis St & Taylor St,Milwaukee Ave & Wabansia Ave,3.62
Loomis St & Taylor St,Paulina St & Diversey Pkwy,4.819
Loomis St & Taylor St,Michigan Ave & 14th St,2.378
Loomis St & Taylor St,May St & Cullerton St,1.315
Loomis St & Taylor St,Mies van der Rohe Way & Chicago Ave,4.315
Loomis St & Taylor St,Wells St & Polk St,2.602
Loomis St & Taylor St,Theater on the Lake,6.859
Loomis St & Taylor St,State St & 19th St,2.672
Loomis St & Taylor St,Martin Luther King Dr & Oakwood Blvd,5.329
Loomis St & Taylor St,State St & 35th St,4.2
Loomis St & Taylor St,Stave St & Armitage Ave,4.267
Loomis St & Taylor St,Ogden Ave & Race Ave,1.985
Loomis St & Taylor St,Southport Ave & Wrightwood Ave,4.663
Loomis St & Taylor St,State St & 29th St,3.738
Loomis St & Taylor St,State St & Wacker Dr,2.915
Loomis St & Taylor St,Michigan Ave & Madison St,3.191
Loomis St & Taylor St,Wabash Ave & Grand Ave,4.323
Loomis St & Taylor St,Western Ave & 21st St,2.291
Loomis St & Taylor St,Prairie Ave & Garfield Blvd,7.213
Loomis St & Taylor St,Paulina St & 18th St,1.219
Loomis St & Taylor St,Normal Ave & Archer Ave,2.634
Loomis St & Taylor St,St Clair St & Erie St,4.097
Loomis St & Taylor St,Wells St & Ohio St,3.39
Loomis St & Taylor St,May St & Fulton St,1.92
Loomis St & Taylor St,Wells St & 19th St,2.587
Loomis St & Taylor St,Milwaukee Ave & Rockwell St,4.411
Loomis St & Taylor St,Racine Ave & Belmont Ave,5.662
Loomis St & Taylor St,Southport Ave & Waveland Ave,5.986
Loomis St & Taylor St,Southport Ave & Roscoe St,5.685
Loomis St & Taylor St,Sheridan Rd & Montrose Ave,7.409
Loomis St & Taylor St,Pine Grove Ave & Addison St,6.88
Loomis St & Taylor St,Sangamon St & Washington Blvd,1.952
Loomis St & Taylor St,Sedgwick St & Schiller St,3.94
Loomis St & Taylor St,Martin Luther King Dr & 29th St,4.236
Loomis St & Taylor St,Ravenswood Ave & Montrose Ave,6.929
Loomis St & Taylor St,Western Ave & Leland Ave,7.328
Loomis St & Taylor St,Sheridan Rd & Irving Park Rd,6.923
Loomis St & Taylor St,Morgan St & Polk St,0.661
Loomis St & Taylor St,Ravenswood Ave & Irving Park Rd,6.452
Loomis St & Taylor St,Shore Drive & 55th St,8.166
Loomis St & Taylor St,Woodlawn Ave & 55th St,8.047
Loomis St & Taylor St,Montrose Harbor,8.391
Loomis St & Taylor St,Pine Grove Ave & Irving Park Rd,7.267
Loomis St & Taylor St,Rhodes Ave & 32nd St,4.836
Loomis St & Taylor St,Stetson Ave & South Water St,4.299
Loomis St & Taylor St,Michigan Ave & 18th St,2.805
Loomis St & Taylor St,Racine Ave & 15th St,0.78
Loomis St & Taylor St,Wallace Ave & 35th St,4.475
Loomis St & Taylor St,Morgan St & 31st St,3.32
Loomis St & Taylor St,Western Ave & 24th St,2.669
Loomis St & Taylor St,Michigan Ave & Jackson Blvd,2.859
Loomis St & Taylor St,Wood St & Grand Ave,2.048
Loomis St & Taylor St,Wells St & Concord Ln,4.908
Loomis St & Taylor St,Wells St & Evergreen Ave,4.063
Loomis St & Taylor St,Southport Ave & Clark St,6.816
Loomis St & Taylor St,Paulina St & Montrose Ave,6.789
Loomis St & Taylor St,Sheffield Ave & Wrightwood Ave,5.132
Loomis St & Taylor St,Western Ave & Division St,3.662
Loomis St & Taylor St,Sheridan Rd & Buena Ave,7.206
Loomis St & Taylor St,Southport Ave & Clybourn Ave,4.223
Loomis St & Taylor St,Seeley Ave & Roscoe St,5.683
Loomis St & Taylor St,Ravenswood Ave & Berteau Ave,6.656
Loomis St & Taylor St,Wood St & Taylor St,0.518
Loomis St & Taylor St,Southport Ave & Irving Park Rd,6.427
Loomis St & Taylor St,Wabash Ave & 8th St,2.348
Loomis St & Taylor St,Sheridan Rd & Lawrence Ave,7.958
Loomis St & Taylor St,Stockton Dr & Wrightwood Ave,6.275
Loomis St & Taylor St,Sheffield Ave & Webster Ave,4.67
Loomis St & Taylor St,Wolcott Ave & Polk St,0.8
Loomis St & Taylor St,Racine Ave & Wrightwood Ave,4.924
Loomis St & Taylor St,Wolcott Ave & Lawrence Ave,7.542
Sheffield Ave & Kingsbury St,State St & Harrison St,4.665
Sheffield Ave & Kingsbury St,Wilton Ave & Diversey Pkwy,2.052
Sheffield Ave & Kingsbury St,Wood St & North Ave,1.115
Sheffield Ave & Kingsbury St,Wood St & Division St,1.625
Sheffield Ave & Kingsbury St,State St & Van Buren St,3.709
Sheffield Ave & Kingsbury St,Streeter Dr & Illinois St,3.412
Sheffield Ave & Kingsbury St,Wabash Ave & Cermak Rd,6.088
Sheffield Ave & Kingsbury St,State St & Randolph St,3.187
Sheffield Ave & Kingsbury St,Wells St & Walton St,1.527
Sheffield Ave & Kingsbury St,State St & Kinzie St,2.898
Sheffield Ave & Kingsbury St,Wells St & Erie St,2.402
Sheffield Ave & Kingsbury St,Wabash Ave & Roosevelt Rd,5.124
Sheffield Ave & Kingsbury St,Wood St & Milwaukee Ave,1.3
Sheffield Ave & Kingsbury St,State St & 16th St,5.549
Sheffield Ave & Kingsbury St,Sheffield Ave & Willow St,0.316
Sheffield Ave & Kingsbury St,State St & Pearson St,2.318
Sheffield Ave & Kingsbury St,State St & Erie St,2.519
Sheffield Ave & Kingsbury St,Sheffield Ave & Wellington Ave,2.23
Sheffield Ave & Kingsbury St,Western Ave & Winnebago Ave,2.253
Sheffield Ave & Kingsbury St,Wilton Ave & Belmont Ave,2.848
Sheffield Ave & Kingsbury St,Wentworth Ave & Archer Ave,5.678
Sheffield Ave & Kingsbury St,Wentworth Ave & 24th St,6.105
Sheffield Ave & Kingsbury St,State St & 33rd St,7.066
Sheffield Ave & Kingsbury St,Southport Ave & Wellington Ave,2.436
Sheffield Ave & Kingsbury St,Southport Ave & Belmont Ave,3.13
Sheffield Ave & Kingsbury St,Wells St & Polk St,4.462
Sheffield Ave & Kingsbury St,Theater on the Lake,2.279
Sheffield Ave & Kingsbury St,State St & 19th St,5.741
Sheffield Ave & Kingsbury St,State St & 35th St,7.264
Sheffield Ave & Kingsbury St,Stave St & Armitage Ave,2.256
Sheffield Ave & Kingsbury St,Southport Ave & Wrightwood Ave,2.365
Sheffield Ave & Kingsbury St,State St & 29th St,6.803
Sheffield Ave & Kingsbury St,State St & Wacker Dr,3.029
Sheffield Ave & Kingsbury St,Wabash Ave & Grand Ave,2.934
Sheffield Ave & Kingsbury St,Western Ave & 21st St,5.326
Sheffield Ave & Kingsbury St,St Clair St & Erie St,3.067
Sheffield Ave & Kingsbury St,Wells St & Ohio St,2.512
Sheffield Ave & Kingsbury St,Wells St & 19th St,5.655
Sheffield Ave & Kingsbury St,Southport Ave & Waveland Ave,3.687
Sheffield Ave & Kingsbury St,Southport Ave & Roscoe St,3.387
Sheffield Ave & Kingsbury St,Sheridan Rd & Montrose Ave,3.916
Sheffield Ave & Kingsbury St,Western Ave & Leland Ave,5.1
Sheffield Ave & Kingsbury St,Sheridan Rd & Irving Park Rd,3.422
Sheffield Ave & Kingsbury St,Shore Drive & 55th St,10.831
Sheffield Ave & Kingsbury St,Woodlawn Ave & 55th St,10.713
Sheffield Ave & Kingsbury St,Stetson Ave & South Water St,3.562
Sheffield Ave & Kingsbury St,Wallace Ave & 35th St,7.538
Sheffield Ave & Kingsbury St,Western Ave & 24th St,5.705
Sheffield Ave & Kingsbury St,Wood St & Grand Ave,2.477
Sheffield Ave & Kingsbury St,Wells St & Concord Ln,1.117
Sheffield Ave & Kingsbury St,Wells St & Evergreen Ave,1.34
Sheffield Ave & Kingsbury St,Southport Ave & Clark St,4.517
Sheffield Ave & Kingsbury St,Sheffield Ave & Wrightwood Ave,1.334
Sheffield Ave & Kingsbury St,Western Ave & Division St,2.371
Sheffield Ave & Kingsbury St,Sheridan Rd & Buena Ave,3.735
Sheffield Ave & Kingsbury St,Southport Ave & Clybourn Ave,1.018
Sheffield Ave & Kingsbury St,Wood St & Taylor St,3.947
Sheffield Ave & Kingsbury St,Southport Ave & Irving Park Rd,4.129
Sheffield Ave & Kingsbury St,Wabash Ave & 8th St,4.887
Sheffield Ave & Kingsbury St,Sheridan Rd & Lawrence Ave,4.459
Sheffield Ave & Kingsbury St,Stockton Dr & Wrightwood Ave,2.461
Sheffield Ave & Kingsbury St,Sheffield Ave & Webster Ave,0.863
Sheffield Ave & Kingsbury St,Wolcott Ave & Polk St,4.23
Sheffield Ave & Kingsbury St,Wolcott Ave & Lawrence Ave,5.244
Aberdeen St & Jackson Blvd,State St & Harrison St,1.623
Aberdeen St & Jackson Blvd,Wilton Ave & Diversey Pkwy,4.377
Aberdeen St & Jackson Blvd,Morgan St & 18th St,1.991
Aberdeen St & Jackson Blvd,Racine Ave & 18th St,2.25
Aberdeen St & Jackson Blvd,Wood St & North Ave,3.488
Aberdeen St & Jackson Blvd,Wood St & Division St,3.02
Aberdeen St & Jackson Blvd,Loomis St & Taylor St,0.94
Aberdeen St & Jackson Blvd,Sheffield Ave & Kingsbury St,3.733
Aberdeen St & Jackson Blvd,May St & Taylor St,1.397
Aberdeen St & Jackson Blvd,Orleans St & Elm St,2.991
Aberdeen St & Jackson Blvd,Fairbanks Ct & Grand Ave,3.199
Aberdeen St & Jackson Blvd,Michigan Ave & Pearson St,3.302
Aberdeen St & Jackson Blvd,McClurg Ct & Illinois St,3.384
Aberdeen St & Jackson Blvd,Larrabee St & North Ave,2.975
Aberdeen St & Jackson Blvd,Larrabee St & Menomonee St,3.183
Aberdeen St & Jackson Blvd,Noble St & Milwaukee Ave,2.464
Aberdeen St & Jackson Blvd,Ashland Ave & Augusta Blvd,2.67
Aberdeen St & Jackson Blvd,Franklin St & Chicago Ave,2.642
Aberdeen St & Jackson Blvd,Racine Ave & Congress Pkwy,0.361
Aberdeen St & Jackson Blvd,State St & Van Buren St,1.69
Aberdeen St & Jackson Blvd,Cannon Dr & Fullerton Ave,4.538
Aberdeen St & Jackson Blvd,Streeter Dr & Illinois St,3.646
Aberdeen St & Jackson Blvd,Franklin St & Jackson Blvd,1.311
Aberdeen St & Jackson Blvd,Dearborn St & Adams St,0
Aberdeen St & Jackson Blvd,Wabash Ave & Cermak Rd,3.203
Aberdeen St & Jackson Blvd,Michigan Ave & Washington St,2.431
Aberdeen St & Jackson Blvd,State St & Randolph St,2.059
Aberdeen St & Jackson Blvd,Michigan Ave & Congress Pkwy,2.082
Aberdeen St & Jackson Blvd,Wells St & Walton St,2.934
Aberdeen St & Jackson Blvd,State St & Kinzie St,2.113
Aberdeen St & Jackson Blvd,Larrabee St & Kingsbury St,2.004
Aberdeen St & Jackson Blvd,Dearborn St & Monroe St,1.531
Aberdeen St & Jackson Blvd,Clark St & Congress Pkwy,1.391
Aberdeen St & Jackson Blvd,Clark St & Randolph St,1.871
Aberdeen St & Jackson Blvd,Michigan Ave & Lake St,2.303
Aberdeen St & Jackson Blvd,Wells St & Erie St,2.534
Aberdeen St & Jackson Blvd,Ogden Ave & Chicago Ave,1.855
Aberdeen St & Jackson Blvd,Halsted St & James M Rochford St,1.4
Aberdeen St & Jackson Blvd,Desplaines St & Kinzie St,1.265
Aberdeen St & Jackson Blvd,Clinton St & Roosevelt Rd,1.437
